N;p;q;found_divisor;time;divisor_equal;base_size
9679097;9767;991;991;0.0;True;15
55780709;22039;2531;2531;0.0;True;15
329342555851011943;634101019;519384997;634101019;0.03365826606750488;True;30
36579951744247;12320369;2969063;2969063;0.010989189147949219;True;24
3465494239;185947;18637;18637;0.0;True;21
596447356601;687721;867281;867281;0.0010161399841308594;True;20
2345439997662469;20099269;116692801;116692801;0.001993417739868164;True;28
107981658025777;24435707;4419011;4419011;0.007991790771484375;True;25
323059204151;891707;362293;362293;0.005980730056762695;True;21
861267521898127;13113619;65677333;13113619;0.007006168365478516;True;30
1397137117;60637;23041;23041;0.0009989738464355469;True;16
497503;499;997;997;0.0;True;10
391813;839;467;467;0.0;True;10
10085489008452301;62121019;162352279;62121019;0.061940670013427734;True;29
1698654754319;1786277;950947;950947;0.0019981861114501953;True;22
134931209531;159499;845969;159499;0.0;True;20
615359;563;1093;563;0.0;True;12
277997011;8467;32833;8467;0.0;True;18
725542789;199819;3631;3631;0.0;True;18
164053397;17209;9533;9533;0.0;True;15
315068658236409031;423080381;744701651;744701651;0.9463069438934326;True;30
37025843;3767;9829;9829;0.0009999275207519531;True;14
874980391;21059;41549;41549;0.0;True;16
3380389;907;3727;907;0.0;True;12
8802033933289;6836579;1287491;6836579;0.003988981246948242;True;23
360497049001;564523;638587;564523;0.00500798225402832;True;20
4865087078986271;19213547;253211293;19213547;0.014985322952270508;True;29
29823468338011;5266169;5663219;5266169;0.07192564010620117;True;23
238831;991;241;241;0.0;True;10
72757486408811;6760003;10762937;10762937;0.003010988235473633;True;24
3585278044726061;20550253;174463937;20550253;0.014986276626586914;True;28
24469534028044367;183378869;133437043;133437043;0.01398611068725586;True;29
10533071;7529;1399;1399;0.0009989738464355469;True;14
4608699880403;1645349;2801047;1645349;0.0019989013671875;True;22
565538851;16811;33641;16811;0.0009980201721191406;True;16
636600047;39323;16189;16189;0.0;True;16
741281;89;8329;89;0.0;True;14
81359299240919131;356134147;228451273;228451273;6.008764982223511;True;30
4366998546797;2460859;1774583;2460859;0.0659329891204834;True;22
782097875979687017;865176043;903975419;903975419;0.03740954399108887;True;30
1702271281;35447;48023;48023;0.0;True;17
1613047;1153;1399;1153;0.0;True;12
9615740020174759;85579181;112360739;85579181;0.029956340789794922;True;27
3383;199;17;17;0.0;True;11
37345127259318223;149634817;249575119;249575119;0.022976398468017578;True;28
77133767;1373;56179;1373;0.0;True;16
149505073727;185233;807119;185233;0.0009996891021728516;True;20
7517309599;84467;88997;88997;0.0;True;18
115991616512461;15594461;7438001;7438001;0.0030090808868408203;True;24
70169417;12479;5623;5623;0.0;True;14
164841069409;1448401;113809;1448401;0.0009992122650146484;True;22
57097393;6947;8219;6947;0.00099945068359375;True;14
378481;461;821;821;0.0;True;13
223011369546793;10264301;21726893;21726893;0.4588940143585205;True;25
47411278186608923;424028021;111811663;111811663;0.03547191619873047;True;30
29600353758331;26155631;1131701;1131701;0.1598362922668457;True;25
425806961;14717;28933;14717;0.0;True;15
48124975353139;22905017;2101067;2101067;0.0019807815551757812;True;25
5650276966063;4134469;1366627;1366627;0.01298666000366211;True;22
1988660801;48413;41077;41077;0.0;True;16
3688783141;55373;66617;66617;0.00099945068359375;True;19
25100435351;118907;211093;118907;0.0009946823120117188;True;18
7675125847087;2190653;3503579;3503579;0.30869245529174805;True;23
10895840157013121;73791607;147656903;73791607;7.966776132583618;True;28
10215167085301;2741281;3726421;3726421;0.0029969215393066406;True;23
27563;641;43;43;0.0;True;12
45256746062013329;210044617;215462537;210044617;26.362181186676025;True;28
206028532403;444553;463451;444553;0.003995418548583984;True;19
672677;599;1123;1123;0.0;True;11
187388379903353;30815171;6081043;6081043;0.021965742111206055;True;26
30139299493;126967;237379;126967;0.04047369956970215;True;19
48583963133;134503;361211;361211;0.0029969215393066406;True;19
138529717;15319;9043;15319;0.0;True;14
190948518581701687;183864071;1038530897;183864071;0.03496360778808594;True;30
528381194933;639689;825997;825997;0.013114690780639648;True;20
13060738336403;3371297;3874099;3371297;0.021457910537719727;True;22
